time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.953486,-78.829019,196.4,59,0
1,0,1,0.0,0.0,0,42.953479,-78.829001,196.3,63,0
2,0,1,1.75,1.36,0,42.953471,-78.828984,196.3,65,0
3,0,1,3.48,1.45,0,42.953463,-78.828966,196.3,66,0
4,0,1,5.48,1.46,0,42.953455,-78.828948,196.3,66,0
5,0,1,7.5,1.73,0,42.953447,-78.82893,196.3,65,0
6,0,1,9.51,1.81,0,42.95344,-78.828912,196.3,66,0
7,0,1,11.44,1.82,0,42.953432,-78.828894,196.2,66,0
8,0,1,13.38,1.7,0,42.953424,-78.828875,196.2,67,0
9,0,1,15.28,1.76,1,42.953416,-78.828857,196.2,67,0
10,0,1,17.15,1.7,1,42.953408,-78.828838,196.2,68,0
11,0,1,19.01,1.59,1,42.9534,-78.828819,196.2,70,8
12,0,1,20.89,1.61,1,42.953392,-78.8288,196.1,73,2
13,0,1,22.75,1.73,1,42.953384,-78.828781,196.1,71,2
14,0,1,24.58,1.65,1,42.953376,-78.828762,196.1,73,2
15,0,1,26.39,1.65,1,42.953368,-78.828743,196.1,74,1
16,0,1,28.16,1.65,2,42.953359,-78.828724,196.1,73,2
17,0,1,29.91,1.54,2,42.953351,-78.828705,196.0,74,3
18,0,1,31.66,1.46,2,42.953343,-78.828686,196.0,74,2
19,0,1,33.42,1.47,2,42.953335,-78.828666,196.0,76,2
20,0,1,35.16,1.47,2,42.953326,-78.828647,196.0,75,2
21,0,1,36.94,1.41,2,42.953318,-78.828628,196.0,75,2
22,0,1,38.76,1.53,2,42.95331,-78.828609,196.1,76,2
23,0,1,40.58,1.65,2,42.953301,-78.82859,196.1,77,2
24,0,1,42.4,1.68,3,42.953293,-78.82857,196.1,77,2
25,0,1,44.22,1.7,3,42.953285,-78.828551,196.1,80,2
26,0,1,46.05,1.71,3,42.953276,-78.828532,196.2,80,2
27,0,1,47.87,1.73,3,42.953268,-78.828513,196.2,79,2
28,0,1,49.7,1.75,3,42.953259,-78.828494,196.2,79,2
29,0,1,51.53,1.76,3,42.953251,-78.828475,196.3,80,2
30,0,1,53.36,1.76,3,42.953242,-78.828456,196.3,80,2
31,0,1,55.18,1.77,3,42.953234,-78.828438,196.3,80,3
32,0,1,57.01,1.78,4,42.953226,-78.828419,196.4,79,2
33,0,1,58.84,1.78,4,42.953217,-78.8284,196.4,80,2
34,0,1,60.67,1.79,4,42.953209,-78.828381,196.4,80,2
